epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,5132.8,0.93143,1.44215,0.64226,0.94065,0.93562,0.78363,0.82432,0.54957,0.80858,0.82179,0.82602,0.50835,1.14188,1.38133,0.70109,1.06419,0.000549036,0.000549036,0.000549036
42,5257.13,0.8905,1.40329,0.62355,0.92699,0.93914,0.7847,0.83166,0.5869,0.83095,0.82272,0.81575,0.53015,0.99908,1.24644,0.65504,0.99856,0.000540037,0.000540037,0.000540037
43,5381.22,0.91969,1.38185,0.63854,0.9254,0.93018,0.79542,0.83733,0.5868,0.92588,0.79101,0.80581,0.52976,0.98942,1.2334,0.64963,1.00474,0.000531038,0.000531038,0.000531038
44,5506.4,0.88792,1.3678,0.60133,0.92395,0.73778,0.85243,0.83618,0.59579,0.78088,0.79227,0.80775,0.51516,0.94715,1.24583,0.64363,0.99359,0.000522039,0.000522039,0.000522039
45,5630.21,0.84726,1.33706,0.59337,0.92235,0.77686,0.86366,0.84122,0.61089,0.8576,0.79189,0.83546,0.52832,0.91134,1.22857,0.63259,0.97629,0.00051304,0.00051304,0.00051304
46,5752.59,0.86906,1.33056,0.60071,0.92451,0.80643,0.82239,0.82368,0.58318,0.79191,0.78535,0.8088,0.53834,1.03074,1.24367,0.64097,1.01181,0.00050404,0.00050404,0.00050404
47,5875.56,0.85827,1.32522,0.60678,0.92694,0.84426,0.8447,0.85548,0.58422,0.79046,0.78529,0.80654,0.53681,1.04123,1.27414,0.64144,0.99911,0.000495041,0.000495041,0.000495041
48,5999.62,0.87031,1.35892,0.59195,0.91876,0.81748,0.81574,0.82414,0.59796,0.77953,0.7861,0.80538,0.53069,0.96393,1.25261,0.63328,0.99015,0.000486042,0.000486042,0.000486042
49,6118.14,0.87379,1.33195,0.60382,0.93468,0.86349,0.82023,0.84612,0.58535,0.82396,0.79237,0.8126,0.53268,1.02479,1.25875,0.65211,1.03712,0.000477043,0.000477043,0.000477043
50,6237.68,0.848,1.29602,0.56935,0.91394,0.83833,0.83415,0.84134,0.60632,0.78234,0.78824,0.81269,0.53157,0.92779,1.21573,0.62885,0.98159,0.000468044,0.000468044,0.000468044
